Domain, V1, V2, V3, V34, V4, V5, Ishort, BRK_STAT, Ibrk
0.00129,203.790568218,202.044653764,32.6850694255,0.0,32.6850694255,1.39839730019,0.625733442506,0.0,0.582688893892
0.0013,203.382959597,201.622517617,32.006487022,0.0,32.006487022,0.714532572029,0.625839089,0.0,0.587453749197
0.00131,202.972460454,201.197472443,31.4061358202,0.0,31.4061358202,0.112114751879,0.625880421366,0.0,0.592223616948
0.00132,202.559076623,200.769531079,30.8850851064,0.0,30.8850851064,-0.408195759421,0.625865617316,0.0,0.596996336075
0.00133,202.142813979,200.338706481,30.4442311575,0.0,30.4442311575,-0.84591443276,0.625802911806,0.0,0.601769719188
0.00134,201.723678439,199.905011718,30.0842960335,0.0,30.0842960335,-1.20073293835,0.625700579438,0.0,0.606541557173
0.00135,201.301675958,199.468459951,29.8058267395,0.0,29.8058267395,-1.47251910232,0.625566916836,0.0,0.611309623813
0.00136,200.876812535,199.029064421,29.609194759,0.0,29.609194759,-1.66131649375,0.625410225056,0.0,0.616071680428
0.00137,200.449094208,198.586838432,29.4945959578,0.0,29.4945959578,-1.76734364466,0.625238792049,0.0,0.620825480526
0.00138,200.018527055,198.141795337,29.4620508553,0.0,29.4620508553,-1.79099290577,0.625060875221,0.0,0.625568774446
0.00139,199.585117197,197.693948523,29.5114052644,0.0,29.5114052644,-1.73282894203,0.624884684129,0.0,0.630299313998
0.0014,199.148870792,197.243311396,29.6423312945,0.0,29.6423312945,-1.59358687242,0.624718363338,0.0,0.635014857077
0.00141,198.709794041,196.789897364,29.8543287153,0.0,29.8543287153,-1.37417005931,0.624569975492,0.0,0.639713172247
0.00142,198.267893183,196.333719826,30.1467266772,0.0,30.1467266772,-1.07564755334,0.624447484611,0.0,0.644392043288
0.00143,197.823174501,195.874792153,30.518685783,0.0,30.518685783,-0.699251200648,0.624358739673,0.0,0.649049273692
0.00144,197.375644313,195.413127678,30.9692005049,0.0,30.9692005049,-0.246372419709,0.624311458492,0.0,0.6536826911
0.00145,196.92530898,194.948739678,31.4971019411,0.0,31.4971019411,0.281441344142,0.624313211938,0.0,0.65829015167
0.00146,196.472174903,194.481641363,32.1010609042,0.0,32.1010609042,0.882490477738,0.62437140853,0.0,0.662869544376
0.00147,196.016248521,194.011845859,32.7795913345,0.0,32.7795913345,1.55492736342,0.624493279422,0.0,0.66741879521
0.00148,195.557536314,193.5393662,33.5310540283,0.0,33.5310540283,2.29676083674,0.624685863832,0.0,0.671935871301
0.00149,195.096044802,193.064215308,34.353660674,0.0,34.353660674,3.10586092798,0.62495599492,0.0,0.676418784928
0.0015,194.631780544,192.586405986,35.2454781845,0.0,35.2454781845,3.97996387652,0.62531028616,0.0,0.680865597418
0.00151,194.164750137,192.105950903,36.2044333176,0.0,36.2044333176,4.9166774064,0.625755118224,0.0,0.685274422937
0.00152,193.694960219,191.622862582,37.2283175714,0.0,37.2283175714,5.91348625104,0.626296626407,0.0,0.689643432148
0.00153,193.222417467,191.137153391,38.3147923452,0.0,38.3147923452,6.96775791446,0.626940688615,0.0,0.693970855735
0.00154,192.747128596,190.648835529,39.4613943533,0.0,39.4613943533,8.07674865614,0.627692913944,0.0,0.698254987797
0.00155,192.269100362,190.157921017,40.665541279,0.0,40.665541279,9.23760968595,0.628558631861,0.0,0.702494189088
0.00156,191.788339559,189.664421689,41.9245376566,0.0,41.9245376566,10.4473935554,0.629542882023,0.0,0.706686890103
0.00157,191.304853019,189.168349178,43.2355809679,0.0,43.2355809679,11.7030607311,0.630650404737,0.0,0.71083159402
0.00158,190.818647614,188.669714913,44.59576794,0.0,44.59576794,13.0014863355,0.631885632091,0.0,0.714926879459
0.00159,190.329730253,188.168530108,46.0021010292,0.0,46.0021010292,14.3394670412,0.63325267976,0.0,0.718971403089
0.0016,189.838107885,187.664805751,47.451495078,0.0,47.451495078,15.7137281022,0.634755339517,0.0,0.722963902051
0.00161,189.343787498,187.158552603,48.9407841305,0.0,48.9407841305,17.1209305082,0.636397072447,0.0,0.726903196209
0.00162,188.846776117,186.649781187,50.4667283896,0.0,50.4667283896,18.5576782454,0.638181002885,0.0,0.730788190216
0.00163,188.347080804,186.13850178,52.0260213033,0.0,52.0260213033,20.0205256493,0.64010991308,0.0,0.734617875394
0.00164,187.844708663,185.624724414,53.6152967628,0.0,53.6152967628,21.5059848326,0.642186238604,0.0,0.73839133143
0.00165,187.339666833,185.108458866,55.2311363978,0.0,55.2311363978,23.0105331726,0.644412064504,0.0,0.742107727875
0.00166,186.831962491,184.589714654,56.8700769529,0.0,56.8700769529,24.5306208427,0.646789122205,0.0,0.745766325451
0.00167,186.321602854,184.068501038,58.52861773,0.0,58.52861773,26.0626783717,0.649318787166,0.0,0.749366477162
0.00168,185.808595174,183.544827008,60.2032280792,0.0,60.2032280792,27.6031242145,0.652002077295,0.0,0.75290762921
0.00169,185.292946742,183.018701294,61.890354925,0.0,61.890354925,29.148372319,0.654839652122,0.0,0.756389321705
0.0017,184.774664888,182.490132352,63.5864303088,0.0,63.5864303088,30.6948396727,0.657831812721,0.0,0.759811189187
0.00171,184.253756977,181.959128371,65.2878789338,0.0,65.2878789338,32.2389538141,0.660978502395,0.0,0.763172960935
0.00172,183.730230412,181.425697271,66.9911256966,0.0,66.9911256966,33.7771602915,0.664279308101,0.0,0.76647446109
0.00173,183.204092634,180.889846701,68.6926031877,0.0,68.6926031877,35.3059300568,0.667733462618,0.0,0.769715608566
0.00174,182.67535112,180.351584041,70.3887591482,0.0,70.3887591482,36.8217667752,0.67133984746,0.0,0.772896416773
0.00175,182.144013385,179.810916406,72.0760638645,0.0,72.0760638645,38.3212140394,0.6750969965,0.0,0.776016993138
0.00176,181.610086981,179.267850644,73.7510174873,0.0,73.7510174873,39.800862471,0.679003100326,0.0,0.779077538433
0.00177,181.073579495,178.72239334,75.4101572601,0.0,75.4101572601,41.2573566959,0.683056011284,0.0,0.782078345908
0.00178,180.534498553,178.174550824,77.0500646404,0.0,77.0500646404,42.687402179,0.687253249228,0.0,0.785019800239
0.00179,179.992851816,177.624329168,78.6673723017,0.0,78.6673723017,44.0877719051,0.691592007932,0.0,0.787902376279
0.0018,179.448646982,177.071734195,80.2587710001,0.0,80.2587710001,45.4553128915,0.696069162172,0.0,0.790726637638
0.00181,178.901891785,176.516771482,81.8210162926,0.0,81.8210162926,46.7869525204,0.700681275443,0.0,0.793493235069
0.00182,178.352593997,175.959446368,83.3509350927,0.0,83.3509350927,48.0797046776,0.705424608303,0.0,0.796202904692
0.00183,177.800761423,175.399763958,84.8454320519,0.0,84.8454320519,49.3306756858,0.710295127321,0.0,0.798856466032
0.00184,177.246401908,174.837729133,86.3014957519,0.0,86.3014957519,50.5370700216,0.715288514606,0.0,0.801454819902
0.00185,176.689523328,174.273346551,87.7162046979,0.0,87.7162046979,51.696195803,0.720400177897,0.0,0.803998946119
0.00186,176.130133599,173.706620664,89.0867330987,0.0,89.0867330987,52.8054700392,0.72562526119,0.0,0.806489901059
0.00187,175.568240672,173.137555718,90.4103564243,0.0,90.4103564243,53.8624236306,0.730958655873,0.0,0.808928815073
