Domain, V1, V2, V3, V34, V4, Ishort, BRK_STAT, Ibrk
0.00154,192.747128596,190.646858325,64.6124974125,0.0,64.6124974125,0.595719790804,0.0,0.698526926817
0.00155,192.269100362,190.158113916,66.1483784501,0.0,66.1483784501,0.597896200511,0.0,0.702153550174
0.00156,191.788339559,189.666808271,67.6302378312,0.0,67.6302378312,0.600153081328,0.0,0.705721975877
0.00157,191.304853019,189.172943859,69.0591533382,0.0,69.0591533382,0.602488441434,0.0,0.709233676021
0.00158,190.818647614,188.676523276,70.4361857947,0.0,70.4361857947,0.604900316928,0.0,0.71269009182
0.00159,190.329730253,188.177549251,71.7623793567,0.0,71.7623793567,0.607386771448,0.0,0.716092634315
0.0016,189.838107885,187.676024636,73.0387617226,0.0,73.0387617226,0.60994589584,0.0,0.719442684787
0.00161,189.343787498,187.171952412,74.2663443633,0.0,74.2663443633,0.612575807826,0.0,0.722741595248
0.00162,188.846776117,186.66533568,75.4461227435,0.0,75.4461227435,0.615274651671,0.0,0.725990688907
0.00163,188.347080804,186.156177669,76.5790765416,0.0,76.5790765416,0.618040597854,0.0,0.729191260627
0.00164,187.844708663,185.644481724,77.6661698662,0.0,77.6661698662,0.620871842749,0.0,0.732344577383
0.00165,187.339666833,185.130251313,78.7083514706,0.0,78.7083514706,0.623766608304,0.0,0.735451878706
0.00166,186.831962491,184.613490022,79.7065549638,0.0,79.7065549638,0.626723141723,0.0,0.738514377128
0.00167,186.321602854,184.094201551,80.6616990196,0.0,80.6616990196,0.629739715158,0.0,0.741533258616
0.00168,185.808595174,183.57238972,81.5746875825,0.0,81.5746875825,0.632814625399,0.0,0.744509683003
0.00169,185.292946742,183.048058459,82.4464100714,0.0,82.4464100714,0.635946193568,0.0,0.74744478441
0.0017,184.774664888,182.521211812,83.2776894341,0.0,83.2776894341,0.639134512222,0.0,0.750339776703
0.00171,184.253756977,181.991853908,84.0688698561,0.0,84.0688698561,0.642404298841,0.0,0.75319657768
0.00172,183.730230412,181.459988893,84.8191518201,0.0,84.8191518201,0.64591681613,0.0,0.756017721155
0.00173,183.204092634,180.925620938,85.5289832428,0.0,85.5289832428,0.650195209506,0.0,0.758800354418
0.00174,182.67535112,180.388754693,86.2083511964,0.0,86.2083511964,0.656137529611,0.0,0.761530284036
0.00175,182.144013385,179.849396193,86.8786138219,0.0,86.8786138219,0.664370537043,0.0,0.764200396889
